GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SLF4J Test,org.slf4j.impl,StaticLoggerBinder,0,15,0,0,0,5,0,5,0,5
SLF4J Test,org.slf4j.impl,StaticMDCBinder,0,19,0,0,0,6,0,4,0,4
SLF4J Test,org.slf4j.impl,StaticMarkerBinder,0,19,0,0,0,5,0,4,0,4
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactory.TestLoggerFactoryMaker,7,20,0,0,2,4,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactory,0,168,0,4,0,45,0,24,0,22
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactoryResetRule.TestLoggerFactoryResettingStatement,0,16,0,0,0,7,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,OverridableProperties,0,60,0,0,0,10,0,4,0,4
SLF4J Test,uk.org.lidalia.slf4jtest,Suppliers.new Supplier() {...},0,7,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Function() {...},0,8,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,Suppliers.new Supplier() {...},0,7,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Function() {...},0,13,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,OverridableProperties.new Function() {...},16,44,4,4,1,6,4,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Function() {...},0,12,0,0,0,3,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Object() {...},2,17,0,0,0,1,0,1,0,1
SLF4J Test,uk.org.lidalia.slf4jtest,TestMDCAdapter,0,57,0,0,0,12,0,7,0,7
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactoryResetRule,0,8,0,0,0,3,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestLogger,0,738,0,4,0,158,0,81,0,79
SLF4J Test,uk.org.lidalia.slf4jtest,Suppliers,0,15,0,0,0,4,0,3,0,3
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent,0,586,0,2,0,91,0,67,0,66
